;libmarq;typal3;nom_commercial;nomen;numlig;nojour;tyrep;noligne;codgr;sougr;codal;algra;alsuc;enric;diete;rien;typal2;qte_brute;qte_nette
123325;x;2;x;113684;131125.0;6;3;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;300.0;300.0
123328;x;2;x;113684;131128.0;6;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;300.0;300.0
123446;x;2;x;113691;131249.0;4;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;300.0;300.0
123506;liebig;1;richesse d'automne potiron et châtaignes;113697;131312.0;2;5;1.0;38;1;25945;0.0;0.0;0.0;0.0;1.0;4.0;400.0;400.0
123615;liebig;1;velouté de poireaux pomme de terre;113697;131429.0;3;5;1.0;38;1;25907;0.0;0.0;0.0;0.0;1.0;4.0;400.0;400.0
123979;maggi;1;x;113708;131823.0;7;5;1.0;38;1;25904;0.0;0.0;0.0;0.0;1.0;4.0;500.0;500.0
124011;x;2;x;113708;131855.0;4;5;1.0;38;2;25909;0.0;0.0;0.0;0.0;1.0;1.0;300.0;300.0
124043;knorr;1;soupe douceur aux 9 légumes;113708;131887.0;1;5;1.0;38;1;25905;0.0;0.0;0.0;0.0;1.0;4.0;350.0;350.0
124101;x;2;x;113708;131945.0;3;5;1.0;38;2;25909;0.0;0.0;0.0;0.0;1.0;1.0;300.0;300.0
124166;maggi;1;x;113708;132010.0;5;5;1.0;38;1;25910;0.0;0.0;0.0;0.0;1.0;4.0;250.0;250.0
124376;x;2;x;113718;132220.0;7;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;400.0;400.0
124475;x;2;x;113718;132319.0;6;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;400.0;400.0
124506;x;2;x;113718;132350.0;5;5;9.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;400.0;400.0
124814;x;2;x;113727;132663.0;2;5;6.0;38;1;25945;0.0;0.0;0.0;0.0;1.0;4.0;400.0;400.0
124834;x;2;x;113727;132683.0;5;5;2.0;38;1;25945;0.0;0.0;0.0;0.0;1.0;1.0;400.0;400.0
124842;x;2;x;113727;132691.0;4;1;6.0;38;1;25945;0.0;0.0;0.0;0.0;1.0;4.0;400.0;400.0
125122;maggi;1;x;113754;132975.0;4;5;1.0;38;1;25905;0.0;0.0;0.0;0.0;1.0;2.0;350.0;350.0
125473;x;2;x;113766;133335.0;6;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;300.0;300.0
125553;x;2;x;113766;133415.0;1;5;4.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;400.0;400.0
125579;x;2;x;113766;133441.0;2;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;400.0;400.0
125761;x;1;x;113782;133628.0;4;2;2.0;38;1;25903;0.0;0.0;1.0;0.0;0.0;4.0;300.0;300.0
125773;x;1;x;113782;133642.0;5;2;1.0;38;1;25903;0.0;0.0;1.0;0.0;0.0;4.0;300.0;300.0
125835;maggi;1;x;113794;133711.0;6;5;2.0;38;2;25947;0.0;0.0;0.0;0.0;1.0;4.0;90.0;90.0
126193;x;2;x;113826;134076.0;1;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;400.0;400.0
126229;x;2;x;113826;134112.0;6;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;400.0;400.0
130530;x;2;x;114775;138680.0;6;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;400.0;400.0
130549;x;2;x;114775;138699.0;3;5;1.0;38;1;25945;0.0;0.0;0.0;0.0;1.0;2.0;400.0;400.0
130570;x;2;x;114775;138720.0;7;5;1.0;38;1;25945;0.0;0.0;0.0;0.0;1.0;2.0;400.0;400.0
130587;x;2;x;114775;138738.0;1;5;1.0;38;1;25945;0.0;0.0;0.0;0.0;1.0;2.0;400.0;400.0
130607;x;2;x;114775;138758.0;2;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;300.0;300.0
130627;x;2;x;114775;138778.0;5;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;400.0;400.0
130650;x;2;x;114775;138801.0;4;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;400.0;400.0
131071;x;2;x;114787;139223.0;3;3;6.0;38;1;25904;0.0;0.0;0.0;0.0;1.0;1.0;200.0;200.0
131133;x;2;x;114787;139287.0;7;5;6.0;38;1;25904;0.0;0.0;0.0;0.0;1.0;1.0;250.0;250.0
137783;x;2;x;115033;146168.0;5;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;200.0;200.0
137814;x;2;x;115033;146199.0;2;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;200.0;200.0
137840;x;2;x;115033;146225.0;6;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;200.0;200.0
137871;x;2;x;115033;146256.0;7;5;1.0;38;1;25910;0.0;0.0;0.0;0.0;1.0;1.0;200.0;200.0
137900;x;2;x;115033;146285.0;1;5;1.0;38;1;25914;0.0;0.0;0.0;0.0;1.0;1.0;200.0;200.0
137931;x;2;x;115033;146316.0;4;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;200.0;200.0
137962;x;2;x;115033;146347.0;3;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;200.0;200.0
147301;x;2;x;115268;155902.0;5;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;400.0;400.0
147311;dia;2;x;115268;155913.0;2;5;1.0;38;1;25903;0.0;0.0;0.0;0.0;1.0;1.0;350.0;350.0
147344;x;2;x;115268;155950.0;7;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;350.0;350.0
147356;x;2;x;115268;155962.0;1;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;400.0;400.0
147382;dia;1;x;115268;155991.0;3;5;1.0;38;1;25908;0.0;0.0;0.0;0.0;1.0;4.0;400.0;400.0
152594;x;2;x;115391;161309.0;5;5;1.0;38;1;25906;0.0;0.0;0.0;0.0;1.0;1.0;200.0;200.0
183269;x;2;x;116182;192749.0;1;3;1.0;38;1;25917;0.0;0.0;0.0;0.0;1.0;1.0;400.0;400.0
186428;picard formule express;1;x;116241;195996.0;4;5;1.0;38;1;25922;0.0;0.0;0.0;0.0;1.0;3.0;400.0;400.0
191116;x;2;x;116380;200792.0;3;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;400.0;400.0
191178;x;2;x;116380;200855.0;5;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;400.0;400.0
191195;x;2;x;116380;200872.0;6;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;400.0;400.0
191209;x;2;x;116380;200886.0;2;2;2.0;38;2;25948;0.0;0.0;0.0;0.0;1.0;1.0;300.0;300.0
191236;x;2;x;116380;200913.0;1;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;400.0;400.0
191362;x;1;x;116382;201041.0;2;5;12.0;38;2;25948;0.0;0.0;0.0;0.0;1.0;4.0;36.0;36.0
202070;x;2;x;116693;212097.0;3;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;200.0;200.0
207516;x;2;x;116840;217681.0;7;4;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;300.0;300.0
207633;x;2;x;116840;217798.0;6;4;4.0;38;1;25908;0.0;0.0;0.0;0.0;1.0;1.0;300.0;300.0
207642;x;2;x;116840;217807.0;5;4;2.0;38;1;25908;0.0;0.0;0.0;0.0;1.0;1.0;300.0;300.0
214744;alvalle;1;x;117153;225206.0;7;3;1.0;38;1;25914;0.0;0.0;0.0;0.0;1.0;2.0;100.0;100.0
